DATE,Adj Close
6/1/2000,44.36
7/3/2000,44.91
8/1/2000,45.12
9/1/2000,45.10
10/2/2000,42.30
11/1/2000,41.54
12/1/2000,39.98
1/2/2001,40.26
2/1/2001,39.42
3/1/2001,35.70
4/2/2001,35.76
5/1/2001,38.50
6/1/2001,37.69
7/2/2001,36.72
8/1/2001,35.92
9/4/2001,31.76
10/1/2001,32.70
11/1/2001,34.39
12/3/2001,35.18
1/2/2002,35.22
2/1/2002,34.09
3/1/2002,35.84
4/1/2002,34.88
5/1/2002,34.03
6/3/2002,31.99
7/1/2002,28.53
8/1/2002,28.77
9/3/2002,27.52
10/1/2002,27.00
11/1/2002,28.79
12/2/2002,28.59
1/2/2003,28.51
2/3/2003,26.74
3/3/2003,27.06
4/1/2003,28.49
5/1/2003,30.17
6/2/2003,32.00
7/1/2003,32.39
8/1/2003,32.43
9/2/2003,33.62
10/1/2003,34.36
11/3/2003,34.94
12/1/2003,35.93
1/2/2004,37.76
2/2/2004,38.15
3/1/2004,37.68
4/1/2004,38.05
5/3/2004,36.87
6/1/2004,37.97
7/1/2004,37.10
8/2/2004,36.44
9/1/2004,37.64
10/1/2004,37.86
11/1/2004,39.74
12/1/2004,41.02
1/3/2005,40.38
2/1/2005,41.14
3/1/2005,41.05
4/1/2005,40.01
5/2/2005,40.57
6/1/2005,41.75
7/1/2005,42.80
8/1/2005,42.92
9/1/2005,43.05
10/3/2005,41.88
11/1/2005,43.65
12/1/2005,44.63
1/3/2006,45.49
2/1/2006,45.57
3/1/2006,46.29
4/3/2006,46.85
5/1/2006,46.40
6/1/2006,44.95
7/3/2006,45.12
8/1/2006,45.91
9/1/2006,47.12
10/2/2006,48.88
11/1/2006,50.05
12/1/2006,51.18
1/3/2007,51.58
2/1/2007,52.67
3/1/2007,51.40
4/2/2007,53.50
5/1/2007,55.06
6/1/2007,55.41
7/2/2007,55.70
8/1/2007,53.13
9/4/2007,54.76
10/1/2007,56.62
11/1/2007,53.87
12/3/2007,54.49
1/2/2008,50.70
2/1/2008,50.19
3/3/2008,48.68
4/1/2008,50.78
5/1/2008,52.27
6/2/2008,50.55
7/1/2008,47.31
8/1/2008,48.38
9/2/2008,46.07
10/1/2008,36.26
11/3/2008,32.85
12/1/2008,32.75
1/2/2009,32.64
2/2/2009,30.54
3/2/2009,28.87
4/1/2009,32.60
5/1/2009,34.81
6/1/2009,35.85
7/1/2009,36.31
8/3/2009,39.38
9/1/2009,40.90
10/1/2009,41.82
11/2/2009,42.43
12/1/2009,43.55
1/4/2010,44.35
2/1/2010,43.15
3/1/2010,45.98
4/1/2010,48.02
5/3/2010,45.20
6/1/2010,43.61
7/1/2010,43.46
8/2/2010,43.81
9/1/2010,45.41
10/1/2010,47.65
11/1/2010,49.04
12/1/2010,51.05
1/3/2011,52.75
2/1/2011,54.39
3/1/2011,53.81
4/1/2011,55.11
5/2/2011,55.34
6/1/2011,53.32
7/1/2011,55.07
8/1/2011,48.94
9/1/2011,48.44
10/3/2011,49.78
11/1/2011,50.76
12/1/2011,51.49
1/3/2012,54.02
2/1/2012,56.57
3/1/2012,57.98
4/2/2012,57.81
5/1/2012,55.97
6/1/2012,55.15
7/2/2012,56.80
8/1/2012,58.48
9/4/2012,60.46
10/1/2012,60.23
11/1/2012,58.66
12/3/2012,60.12
1/2/2013,63.01
2/1/2013,64.56
3/1/2013,66.38
4/1/2013,67.16
5/1/2013,70.30
6/3/2013,69.50
7/1/2013,72.07
8/1/2013,72.44
9/3/2013,73.49
10/1/2013,75.24
11/1/2013,77.76
12/2/2013,79.04
1/2/2014,80.15
2/3/2014,80.20
3/3/2014,82.45
4/1/2014,82.00
5/1/2014,82.86
6/2/2014,85.68
7/1/2014,86.76
8/1/2014,86.42
,
